times1_sh;times1_mh;times1_lh;times2_sh;times2_mh;times2_lh;x_wind_10m_sh;x_wind_10m_mh;x_wind_10m_lh;y_wind_10m_sh;y_wind_10m_mh;y_wind_10m_lh;;;;;;;;;;;;;;;;;;;;
1577959200;1577980800;1578002400;9.832901001;10.18682861;13.27218628;12.2124939;13.3483429;-2.944702148;15.67899707;16.79135895;13.59493286;15.67899707;15.7429411;15.80688512;15.87082914;15.93477316;15.99871718;12.28330969;18.44172859;14.75338287;14.81060053;14.86781819;14.92503586;14.98225352;15.03947118;12.20686239;11;-1.206862387;-1.28330969;12.28330969;-0.300644915
1577962800;1577984400;1578006000;9.847915649;11.00662231;15.57710266;12.68966675;13.21517944;-3.304321289;16.0626612;17.19845058;15.92371397;16.0626612;15.89505603;15.72745087;15.55984571;15.39224054;15.22463538;12.03284493;18.87086105;15.09668884;15.00712178;14.91755473;14.82798767;14.73842061;14.64885355;12.20576388;11;-1.205763881;-1.032844934;12.03284493;-0.070217336
1577966400;1577988000;1578009600;9.550430298;11.36296082;16.98754883;11.64059448;12.74182129;-2.124053955;15.05703021;17.07251851;17.11982536;15.05703021;15.25247934;15.44792846;15.64337758;15.83882671;16.03427583;11.78238018;18.19910812;14.5592865;14.58137156;14.60345662;14.62554168;14.64762675;14.66971181;12.20466538;10.7;-1.504665376;-1.082380179;11.78238018;-0.139789766
1577970000;1577991600;1578013200;10.06414795;11.66015625;18.44062805;12.73251343;12.21420288;-1.643341064;16.22972496;16.88626648;18.51370662;16.22972496;16.27060331;16.31148166;16.35236002;16.39323837;16.43411673;11.86518212;18.36474609;14.69179687;14.6827151;14.67363332;14.66455154;14.65546977;14.64638799;12.20035629;11.3;-0.900356293;-0.565182124;11.86518212;0.38403245
1577973600;1577995200;1578016800;10.11723328;11.36558533;18.91249084;13.00257874;11.99423218;-0.88079834;16.47499508;16.52386563;18.93299014;16.47499508;16.48459158;16.49418808;16.50378457;16.51338107;16.52297757;11.94798407;18.29663277;14.63730622;14.66039912;14.68349203;14.70658493;14.72967784;14.75277074;12.19604721;11;-1.196047211;-0.94798407;11.94798407;0.007854656
1577977200;1577998800;1578020400;10.3309021;14.22111511;19.71141052;12.90730286;10.28347778;-2.168212891;16.53257407;17.54964474;19.83030136;16.53257407;16.57477274;16.61697141;16.65917009;16.70136876;16.74356744;12.03078602;18.46982956;14.77586365;14.83504842;14.89423319;14.95341797;15.01260274;15.07178751;12.19173813;10.7;-1.491738128;-1.330786016;12.03078602;-0.368323138
1577980800;1578002400;1578024000;10.54852295;13.10472107;19.79911804;13.0572052;-3.363967896;-4.136016846;16.78576611;13.52959698;20.22651009;16.78576611;16.78340049;16.78103487;16.77866925;16.77630362;16.773938;12.11358796;18.91371536;15.13097229;15.18557205;15.24017181;15.29477158;15.34937134;15.4039711;12.18742905;10.6;-1.587429045;-1.513587962;12.11358796;-0.544500923
1577984400;1578006000;1578027600;10.88409424;14.97647095;15.51203918;12.76017761;-2.602172852;-9.887512207;16.77157238;15.20085476;18.39527813;16.77157238;16.58687957;16.40218677;16.21749396;16.03280115;15.84810835;12.19638991;19.32321358;15.45857086;15.44094366;15.42331645;15.40568924;15.38806203;15.37043482;12.18311996;10.1;-2.083119963;-2.096389907;12.19638991;-1.120678717
1577988000;1578009600;1578031200;10.92076111;17.03010559;16.20082092;11.22851563;-2.760162354;-5.13067627;15.66341554;17.25233296;16.99383528;15.66341554;15.82698657;15.9905576;16.15412862;16.31769965;16.48127068;12.27919185;19.19100952;15.35280762;15.32865728;15.30450694;15.2803566;15.25620626;15.23205592;12.17881088;11;-1.17881088;-1.279191853;12.27919185;-0.296856502
1577991600;1578013200;1578034800;11.73805237;18.26509094;12.91545105;11.80122375;-2.370452881;-6.886306763;16.64484171;18.41826794;14.63660127;16.64484171;16.72197097;16.79910023;16.87622949;16.95335875;17.03048801;12.38557963;19.00988197;15.20790558;15.15966212;15.11141866;15.0631752;15.01493174;14.96668828;12.17646306;10.8;-1.376463061;-1.585579635;12.38557963;-0.59473326
