times2_sh;times2_mh;times2_lh;x_wind_10m_sh;x_wind_10m_mh;x_wind_10m_lh;y_wind_10m_sh;y_wind_10m_mh;y_wind_10m_lh;;;
1578290400;1578312000;1578333600;6.37891674;7.242904663;7.772125244;7.968962669;16.21337318;13.88448524;10.20759251;17.75762196;15.91178373
1578294000;1578315600;1578337200;5.789942741;7.191879272;8.889923096;9.140452385;16.06694984;10.72576809;10.81994948;17.60312486;13.93100261
1578297600;1578319200;1578340800;5.232568741;6.691986084;8.39692688;10.57219601;15.98423958;7.175890923;11.79623262;17.32854849;11.04544212
1578301200;1578322800;1578344400;6.610155106;6.257110596;9.39213562;11.8085022;16.01476288;4.894185066;13.53273345;17.19372162;10.59081012
1578304800;1578326400;1578348000;7.298057556;5.677368164;10.72325134;14.10474586;15.68758202;1.896036148;15.88097919;16.68330719;10.8895855
1578308400;1578330000;1578351600;6.654169083;5.998931885;11.84057617;15.21920013;15.52476501;0.801401138;16.61029858;16.64348258;11.86766564
1578312000;1578333600;1578355200;6.909057617;8.055847168;11.21343708;15.23511505;14.16018105;1.57288456;16.72853274;16.29132901;11.32321231
1578315600;1578337200;1578358800;6.466659546;9.517120361;11.11097717;16.2626152;9.958640099;1.124599457;17.5011525;13.77498067;11.16774542
1578319200;1578340800;1578362400;7.589614868;8.322463989;10.89196205;15.54933453;8.194162369;2.06811142;17.30271823;11.67937086;11.08656494
1578322800;1578344400;1578366000;6.852401733;9.327758789;10.6933651;15.84914589;6.10498333;3.275197029;17.26704477;11.14800007;11.18369227
1578326400;1578348000;1578369600;5.773223877;11.80570984;9.91337204;16.12553978;3.071511269;4.729109764;17.12784712;12.19872806;10.98359797
1578330000;1578351600;1578373200;5.96206665;11.50111389;9.890039444;15.77472591;1.751624107;6.613826752;16.86381382;11.63373576;11.89771341
1578333600;1578355200;1578376800;8.309066772;11.17350483;9.783185005;11.97934532;1.669376373;8.133158684;14.5789336;11.29752308;12.72238103
1578337200;1578358800;1578380400;8.799728394;11.02234745;8.78042984;9.340519905;0.992918015;9.896197319;12.83279127;11.06697924;13.2299157
1578340800;1578362400;1578384000;8.070022583;10.96754074;7.103883743;7.947460175;2.022170067;12.33942986;11.32640224;11.1524043;14.23821244
1578344400;1578366000;1578387600;9.1121521;11.08502293;5.366773605;6.482679367;3.352325439;14.89135361;11.18286402;11.58083845;15.82891883
1578348000;1578369600;1578391200;10.98777771;10.58185959;4.360740662;4.073296547;4.558639526;17.23492241;11.71848982;11.52202008;17.77803728
1578351600;1578373200;1578394800;11.61332703;10.37817955;6.074884415;2.845956802;6.471151352;19.18355942;11.95695759;12.23038882;20.12245444
1578355200;1578376800;1578398400;10.59240913;9.642342567;6.90626812;1.113864899;8.575717926;19.55547905;10.65081341;12.90417406;20.73917308
1578358800;1578380400;1578402000;10.34513855;8.10110569;7.127590179;1.494818687;10.44822598;19.52616501;10.45257741;13.22094321;20.78638164
1578362400;1578384000;1578405600;10.76857567;6.193827629;7.809072495;2.366149902;13.03429985;18.72462082;11.0254654;14.43109397;20.28775587
1578366000;1578387600;1578409200;10.57339287;5.087960243;8.887722969;4.599889755;15.57021999;17.90375328;11.53063843;16.38044841;19.98839666
1578369600;1578391200;1578412800;10.93407726;4.848181725;9.550152779;5.767508507;17.44136047;16.81428146;12.36196586;18.10264956;19.33715282
1578373200;1578394800;1578416400;10.70606995;7.094257355;9.165729523;6.741644859;18.89606857;15.6984024;12.65186583;20.18390188;18.17829573
1578376800;1578398400;1578420000;9.318309784;7.116024971;10.40815735;7.184591293;19.56215286;13.76606464;11.76644591;20.81623491;17.25787574
1578380400;1578402000;1578423600;7.387997627;7.333044052;11.31600857;9.976441383;19.7392807;14.79461002;12.41418107;21.05736778;18.62612508
1578384000;1578405600;1578427200;5.48141861;8.298089981;12.52073956;13.3035841;18.69144821;11.92890739;14.38858227;20.45063651;17.29357542
1578387600;1578409200;1578430800;5.85064888;9.624664307;12.21722412;15.70069885;18.08417511;10.37409592;16.75535845;20.48588666;16.02755226
1578391200;1578412800;1578434400;5.280515671;9.460681915;13.40374756;17.60268211;17.10906982;9.131788254;18.37765663;19.55056962;16.2188164
1578394800;1578416400;1578438000;6.811905861;9.531555176;12.89978027;19.84147453;15.95037842;9.040243149;20.97823093;18.58131093;15.7521531
