times2_sh;times2_mh;times2_lh;x_wind_10m_sh;x_wind_10m_mh;x_wind_10m_lh;y_wind_10m_sh;y_wind_10m_mh;y_wind_10m_lh
1611576000.0;1611597600.0;1611619200.0;-0.7142238616943359;4.217535018920898;0.6758270263671875;0.8686599731445312;-0.8600311279296875;-3.433042526245117
1611579600.0;1611601200.0;1611622800.0;0.3427581787109375;4.56971549987793;-2.450899124145508;0.6156101226806641;-1.1844768524169922;-6.13078498840332
1611583200.0;1611604800.0;1611626400.0;2.4004783630371094;5.319793701171875;-2.1946334838867188;0.363861083984375;-0.8329582214355469;-6.5514678955078125
1611586800.0;1611608400.0;1611630000.0;3.066225051879883;6.041265487670898;-0.8137588500976562;0.2144489288330078;-0.09578895568847656;-6.838846206665039
1611590400.0;1611612000.0;1611633600.0;3.5879859924316406;3.9168624877929688;-0.874603271484375;-0.2512359619140625;-4.857938766479492;-6.921390533447266
1611594000.0;1611615600.0;1611637200.0;3.390697479248047;3.5240116119384766;-0.18475914001464844;-1.225637435913086;-4.602754592895508;-7.6019439697265625
1611597600.0;1611619200.0;1611640800.0;3.7099456787109375;1.3932647705078125;1.0788116455078125;-0.5039939880371094;-2.3199520111083984;-6.457536697387695
1611601200.0;1611622800.0;1611644400.0;4.693286895751953;-3.565370559692383;1.5124225616455078;0.30614471435546875;-5.151912689208984;-5.900505065917969
1611604800.0;1611626400.0;1611648000.0;5.334499359130859;-3.6710586547851562;1.8300151824951172;0.6334972381591797;-2.4946022033691406;-5.600713729858398
1611608400.0;1611630000.0;1611651600.0;5.890981674194336;-0.6651268005371094;1.7181529998779297;0.29697418212890625;-3.6925792694091797;-5.159519195556641
1611612000.0;1611633600.0;1611655200.0;6.194240570068359;0.2803802490234375;2.0670089721679688;0.6306571960449219;-5.77186393737793;-4.8960723876953125
1611615600.0;1611637200.0;1611658800.0;7.855077743530273;0.07589530944824219;1.9792232513427734;0.7422542572021484;-6.872955322265625;-4.296194076538086
1611619200.0;1611640800.0;1611662400.0;6.9896697998046875;1.6770286560058594;1.9509468078613281;3.0806026458740234;-3.0938148498535156;-3.447622299194336
1611622800.0;1611644400.0;1611666000.0;6.196489334106445;0.5406494140625;1.9563674926757812;4.646883010864258;-3.6700496673583984;-3.053743362426758
1611626400.0;1611648000.0;1611669600.0;-6.302228927612305;1.0667896270751953;2.142454147338867;-6.672889709472656;-3.8054962158203125;-2.734586715698242
1611630000.0;1611651600.0;1611673200.0;-4.043722152709961;1.1009960174560547;1.553964614868164;-3.9325294494628906;-4.675880432128906;-2.7932281494140625
1611633600.0;1611655200.0;1611676800.0;-0.3183937072753906;1.6709060668945312;1.3792572021484375;-3.6733627319335938;-4.155073165893555;-2.6160945892333984
1611637200.0;1611658800.0;1611680400.0;0.06027793884277344;2.1189308166503906;1.694753646850586;-6.995733261108398;-4.145833969116211;-1.6649951934814453
1611640800.0;1611662400.0;1611684000.0;0.451202392578125;1.0947284698486328;0.6176815032958984;-2.779726028442383;-3.4144554138183594;-2.026456832885742
1611644400.0;1611666000.0;1611687600.0;0.019147872924804688;1.5106525421142578;0.0113677978515625;-3.997220993041992;-2.817035675048828;-1.4445629119873047
1611648000.0;1611669600.0;1611691200.0;0.5186977386474609;1.528097152709961;0.01369476318359375;-4.29632568359375;-3.0842819213867188;-0.8289241790771484
1611651600.0;1611673200.0;1611694800.0;-0.47934913635253906;0.7681217193603516;0.15619277954101562;-4.516940116882324;-2.4616947174072266;-0.06114768981933594
1611655200.0;1611676800.0;1611698400.0;0.16098594665527344;1.5323963165283203;0.25301551818847656;-3.903688430786133;-2.4549999237060547;0.05954551696777344
1611658800.0;1611680400.0;1611702000.0;1.0668563842773438;1.2064628601074219;0.7120361328125;-3.7524070739746094;-2.5571765899658203;0.11253738403320312
