times1_sh;times1_mh;times1_lh;wind_speed_10m_sh;wind_speed_10m_mh;wind_speed_10m_lh;wind_direction_10m_sh;wind_direction_10m_mh;wind_direction_10m_lh;air_pressure_at_sea_level_sh;air_pressure_at_sea_level_mh;air_pressure_at_sea_level_lh;air_temperature_2m_sh;air_temperature_2m_mh;air_temperature_2m_lh;times2_sh;times2_mh;times2_lh;specific_convective_available_potential_energy_sh;specific_convective_available_potential_energy_mh;specific_convective_available_potential_energy_lh;atmosphere_convective_inhibition_sh;atmosphere_convective_inhibition_mh;atmosphere_convective_inhibition_lh
1578538800.0;1578560400.0;1578582000.0;10.590465545654297;9.048556327819824;6.2139153480529785;241.12197875976562;238.1519775390625;216.2651824951172;100717.75;100616.625;100568.6875;280.3516845703125;279.83477783203125;279.6372985839844;1578538800.0;1578560400.0;1578582000.0;80.578125;106.609375;75.0703125;1000.0;28.87508201599121;1000.0000610351562
1578542400.0;1578564000.0;1578585600.0;10.700620651245117;8.946572303771973;5.654111862182617;235.5189208984375;228.33311462402344;217.3637237548828;100679.0;100612.0625;100591.875;280.1832275390625;279.7261657714844;279.6502685546875;1578542400.0;1578564000.0;1578585600.0;84.5625;80.3671875;58.6875;1000.0;1000.0001220703125;1000.0
1578546000.0;1578567600.0;1578589200.0;11.219356536865234;8.724790573120117;5.336849212646484;233.33938598632812;221.4616241455078;219.53579711914062;100643.5625;100606.625;100623.5625;279.9961242675781;279.75579833984375;279.66387939453125;1578546000.0;1578567600.0;1578589200.0;84.125;82.15625;48.8125;1000.0;1000.0;1000.0000610351562
1578549600.0;1578571200.0;1578592800.0;9.947144508361816;8.810866355895996;4.672896385192871;223.46730041503906;218.9932861328125;256.60955810546875;100609.6875;100529.9375;100604.75;280.2095947265625;279.90521240234375;279.8077392578125;1578549600.0;1578571200.0;1578592800.0;133.984375;88.9453125;0.0;5.921926021575928;1000.0000610351562;1000.0000610351562
1578553200.0;1578574800.0;1578596400.0;9.541790008544922;8.08857536315918;5.002898693084717;227.3668975830078;221.5096435546875;273.95819091796875;100585.5625;100504.8125;100628.6875;280.0979309082031;279.96343994140625;279.8771667480469;1578553200.0;1578574800.0;1578596400.0;57.265625;61.6328125;0.0;1000.0000610351562;1000.0;1000.0
1578556800.0;1578578400.0;1578600000.0;10.3518648147583;7.252466201782227;5.513236999511719;220.3686981201172;218.6072998046875;291.0308532714844;100570.6875;100491.1875;100653.0625;279.9720764160156;279.9102478027344;279.8934631347656;1578556800.0;1578578400.0;1578600000.0;164.6015625;48.375;0.0;0.031310781836509705;1000.0000610351562;1000.0
1578560400.0;1578582000.0;1578603600.0;10.822746276855469;6.572258949279785;4.816370010375977;226.0274200439453;218.08334350585938;298.2176513671875;100569.5;100493.5;100686.75;279.8507385253906;279.79754638671875;279.90582275390625;1578560400.0;1578582000.0;1578603600.0;28.5546875;49.0;0.0;1000.0;1000.0;1000.0
1578564000.0;1578585600.0;1578607200.0;9.560441970825195;5.6457414627075195;3.7125885486602783;226.9267578125;225.3033447265625;297.15911865234375;100564.3125;100509.75;100714.3125;279.9666748046875;279.7427978515625;279.9635009765625;1578564000.0;1578585600.0;1578607200.0;68.890625;15.03125;0.0;1000.0;1000.0;1000.0
1578567600.0;1578589200.0;1578610800.0;9.445501327514648;4.9368696212768555;3.8022007942199707;216.6511688232422;236.95269775390625;296.51910400390625;100555.125;100560.9375;100751.25;279.9387512207031;279.7595520019531;280.0317687988281;1578567600.0;1578589200.0;1578610800.0;102.1328125;0.0;0.0;3.2343759536743164;1000.0000610351562;1000.0
1578571200.0;1578592800.0;1578614400.0;8.647865295410156;5.735048294067383;4.750955104827881;233.2967987060547;256.665283203125;272.545654296875;100505.25;100639.375;100847.5;280.0025939941406;279.9302673339844;280.2834777832031;1578571200.0;1578592800.0;1578614400.0;95.515625;10.3125;0.0390625;1000.0;1000.0;1000.0000610351562
1578574800.0;1578596400.0;1578618000.0;8.175921440124512;5.669628143310547;5.330360412597656;230.51817321777344;266.27325439453125;280.7955322265625;100498.125;100669.9375;100918.6875;280.01910400390625;279.94580078125;280.38250732421875;1578574800.0;1578596400.0;1578618000.0;75.8359375;3.546875;37.265625;1000.0000610351562;1000.0;1000.0
1578578400.0;1578600000.0;1578621600.0;7.730210781097412;5.336826324462891;5.983103275299072;233.0438232421875;270.17529296875;284.8389587402344;100512.5;100682.6875;100972.1875;279.97222900390625;280.0419921875;280.5238037109375;1578578400.0;1578600000.0;1578621600.0;20.046875;0.078125;0.921875;1000.0;1000.0000610351562;1000.0001220703125
1578582000.0;1578603600.0;1578625200.0;6.865129470825195;5.214402198791504;4.884969711303711;237.1864013671875;281.35150146484375;281.0809326171875;100531.75;100718.1875;100997.375;279.9599304199219;280.12030029296875;280.61688232421875;1578582000.0;1578603600.0;1578625200.0;1.328125;0.109375;1.4765625;1000.0;1000.0000610351562;1000.0
1578585600.0;1578607200.0;1578628800.0;6.149744510650635;4.217773914337158;4.001039981842041;235.6885528564453;278.6888732910156;263.7969970703125;100564.75;100759.4375;101009.0625;280.0009460449219;280.1331481933594;280.5893859863281;1578585600.0;1578607200.0;1578628800.0;0.0;0.0;0.0;1000.0000610351562;1000.0;1000.0
1578589200.0;1578610800.0;1578632400.0;6.087359428405762;3.764824390411377;4.203624248504639;247.49386596679688;272.07513427734375;261.416015625;100597.6875;100789.4375;101051.4375;279.9403991699219;280.2342529296875;280.6506042480469;1578589200.0;1578610800.0;1578632400.0;0.0;0.0;8.53125;1000.0001220703125;1000.0;1000.0
1578592800.0;1578614400.0;1578636000.0;6.452392101287842;5.838131904602051;7.386750221252441;260.93670654296875;264.453369140625;250.72694396972656;100653.0625;100899.0;101136.5;280.1809997558594;280.5059509277344;280.98345947265625;1578592800.0;1578614400.0;1578636000.0;23.078125;0.0;1.078125;1000.0;1000.0000610351562;1000.0
1578596400.0;1578618000.0;1578639600.0;5.689300060272217;7.009757995605469;7.935986518859863;264.18402099609375;274.11376953125;243.37527465820312;100686.4375;100974.0;101169.8125;280.23876953125;280.6582336425781;281.0207824707031;1578596400.0;1578618000.0;1578639600.0;2.546875;0.0859375;2.375;1000.0;1000.0;1000.0
1578600000.0;1578621600.0;1578643200.0;5.407278060913086;5.883397102355957;8.334132194519043;263.43212890625;266.2099609375;236.00161743164062;100700.3125;101006.9375;101212.3125;280.2742004394531;280.65020751953125;281.07159423828125;1578600000.0;1578621600.0;1578643200.0;0.1953125;0.0;4.578125;1000.0;1000.0;1000.0
1578603600.0;1578625200.0;1578646800.0;5.429704666137695;5.566515922546387;10.047002792358398;260.78948974609375;253.4168701171875;244.01516723632812;100734.875;101004.9375;101362.625;280.28045654296875;280.81982421875;281.08673095703125;1578603600.0;1578625200.0;1578646800.0;0.1875;0.0;7.515625;1000.0;1000.0;1000.0000610351562
1578607200.0;1578628800.0;1578650400.0;5.1941704750061035;5.476346015930176;9.496509552001953;259.4906005859375;239.28250122070312;229.385498046875;100770.375;101009.3125;101347.3125;280.3470458984375;280.8948059082031;281.006103515625;1578607200.0;1578628800.0;1578650400.0;0.0;0.0;8.328125;1000.0;1000.0;1000.0
1578610800.0;1578632400.0;1578654000.0;4.698037147521973;6.305749893188477;10.481593132019043;259.85552978515625;247.6611328125;223.95420837402344;100810.125;101077.6875;101373.9375;280.4077453613281;280.9295654296875;281.0268249511719;1578610800.0;1578632400.0;1578654000.0;0.0;0.0;3.265625;1000.0;1000.0000610351562;1000.0
1578614400.0;1578636000.0;1578657600.0;5.849236011505127;8.299034118652344;12.055453300476074;247.0245361328125;237.3392333984375;208.02322387695312;100882.1875;101169.875;101356.5;280.3988037109375;280.8562927246094;280.59051513671875;1578614400.0;1578636000.0;1578657600.0;0.0;0.3984375;0.0;1000.0001220703125;1000.0000610351562;1000.0
1578618000.0;1578639600.0;1578661200.0;6.838670253753662;8.875810623168945;12.87521743774414;256.7039794921875;240.91122436523438;203.29376220703125;100973.625;101229.875;101336.6875;280.51251220703125;280.90179443359375;280.4518127441406;1578618000.0;1578639600.0;1578661200.0;0.9921875;0.046875;0.0;1000.0;1000.0;1000.0
1578621600.0;1578643200.0;1578664800.0;6.81113862991333;8.746139526367188;13.299074172973633;253.8113555908203;236.06643676757812;200.0932159423828;101001.6875;101258.6875;101306.875;280.70855712890625;280.89227294921875;280.4569396972656;1578621600.0;1578643200.0;1578664800.0;0.0;0.140625;0.0;1000.0;1000.0;1000.0000610351562
1578625200.0;1578646800.0;1578668400.0;7.543803691864014;9.682665824890137;14.433753967285156;247.6693115234375;229.44320678710938;194.7441864013672;101045.5625;101305.125;101238.25;280.7363586425781;280.8111877441406;280.4031982421875;1578625200.0;1578646800.0;1578668400.0;0.2890625;0.0;0.0;1000.0000610351562;1000.0;1000.0
1578628800.0;1578650400.0;1578672000.0;7.197587966918945;10.525202751159668;16.117292404174805;240.04345703125;224.51861572265625;195.049072265625;101064.3125;101342.1875;101200.9375;280.81890869140625;280.74566650390625;280.44598388671875;1578628800.0;1578650400.0;1578672000.0;0.0;0.28125;0.0;1000.0;1000.0000610351562;1000.0
1578632400.0;1578654000.0;1578675600.0;7.613663673400879;10.635573387145996;17.055660247802734;238.36373901367188;218.0159454345703;192.33009338378906;101106.25;101353.0;101115.125;280.8374938964844;280.6947326660156;280.3887023925781;1578632400.0;1578654000.0;1578675600.0;0.0;0.0;0.3671875;1000.0;1000.0;1000.0000610351562
1578636000.0;1578657600.0;1578679200.0;8.662879943847656;12.417076110839844;17.513134002685547;238.41412353515625;209.2768096923828;194.66078186035156;101147.8125;101360.4375;101105.8125;280.93017578125;280.6403503417969;280.5747985839844;1578636000.0;1578657600.0;1578679200.0;1.3828125;0.0;0.0;1000.0000610351562;1000.0;1000.0
1578639600.0;1578661200.0;1578682800.0;9.579888343811035;12.959122657775879;18.563236236572266;241.55294799804688;207.8233642578125;189.0395050048828;101224.0625;101363.6875;100961.8125;280.96185302734375;280.5909423828125;280.6000061035156;1578639600.0;1578661200.0;1578682800.0;1.484375;0.0;0.375;1000.0;1000.0;1000.0
1578643200.0;1578664800.0;1578686400.0;9.563981056213379;13.36510944366455;19.830955505371094;239.1040496826172;203.3245391845703;187.15145874023438;101267.3125;101337.5625;100842.125;280.970703125;280.4929504394531;280.645751953125;1578643200.0;1578664800.0;1578686400.0;1.046875;0.0;3.5703125;1000.0;1000.0000610351562;1000.0
1578646800.0;1578668400.0;1578690000.0;10.232967376708984;14.3836088180542;21.422607421875;230.28915405273438;198.52664184570312;188.5523681640625;101320.6875;101288.3125;100685.875;280.9078063964844;280.4554748535156;280.65118408203125;1578646800.0;1578668400.0;1578690000.0;0.0;0.0;2.6953125;1000.0000610351562;1000.0;1000.0000610351562
1578650400.0;1578672000.0;1578693600.0;11.343772888183594;15.677486419677734;22.065073013305664;223.26283264160156;194.93540954589844;189.89295959472656;101347.625;101224.9375;100592.0625;280.8314514160156;280.4779357910156;280.65240478515625;1578650400.0;1578672000.0;1578693600.0;0.28125;0.2890625;3.6796875;1000.0;1000.0;1000.0000610351562
1578654000.0;1578675600.0;1578697200.0;11.528450965881348;16.932064056396484;22.861291885375977;216.8470458984375;195.0291290283203;188.4774932861328;101374.3125;101172.8125;100448.125;280.77392578125;280.570556640625;280.7557678222656;1578654000.0;1578675600.0;1578697200.0;0.2109375;0.21875;2.1171875;1000.0000610351562;1000.0;1000.0
1578657600.0;1578679200.0;1578700800.0;12.151679992675781;17.578441619873047;23.250776290893555;212.56202697753906;188.98843383789062;188.78733825683594;101374.4375;101085.625;100284.0;280.66448974609375;280.5122375488281;280.4462890625;1578657600.0;1578679200.0;1578700800.0;0.0;0.0;6.4765625;1000.0;1000.0001220703125;1000.0001220703125
1578661200.0;1578682800.0;1578704400.0;12.96819019317627;19.5423641204834;23.24159049987793;206.6012420654297;187.20567321777344;193.3423614501953;101346.375;100950.9375;100194.5625;280.550048828125;280.5840148925781;280.6411437988281;1578661200.0;1578682800.0;1578704400.0;0.0;0.171875;5.9765625;1000.0;1000.0000610351562;1000.0001220703125
